ID,TARGET
16364,1
6183,1
15980,1
8656,1
8704,1
16441,1
3614,1
15615,1
8408,1
13567,1
11948,1
7255,1
14897,1
15832,1
13900,1
12404,1
2940,1
6037,1
5254,1
12854,1
13317,1
14609,1
12445,1
6368,1
15600,1
15341,1
7072,1
3729,1
5118,1
17007,1
6849,1
13587,1
5095,1
5255,1
1272,1
11756,1
8484,1
15038,1
4428,1
16666,1
2105,1
3627,1
14055,1
17063,1
1173,1
12885,1
4557,1
3302,1
14637,1
14298,1
3277,1
3521,1
12484,1
3641,1
13297,1
15699,1
15982,1
14763,1
7296,1
3228,1
4564,1
13258,1
7452,1
6365,1
3391,1
16625,1
13903,1
2830,1
14528,1
3560,1
2768,1
3753,1
13576,1
17297,1
15866,1
2090,1
6773,1
13273,1
16595,1
13908,1
16962,1
12785,1
2112,1
8069,1
17207,1
2987,1
15284,1
6116,1
13010,1
6690,1
6583,1
3263,1
2318,1
15607,1
346,1
17324,1
13431,1
405,1
15981,1
16459,1
15207,1
14101,1
16565,1
15327,1
6905,1
8594,1
3258,1
8181,1
15842,1
3429,1
12073,1
1198,1
373,1
2306,1
13542,1
14709,1
461,1
1175,1
3631,1
2943,1
3195,1
15639,1
16916,1
15488,1
13972,1
1247,1
6894,1
3743,1
5681,1
6675,1
14056,1
3377,1
3712,1
13611,1
14599,1
16199,1
3657,1
7963,1
2735,1
14841,1
5666,1
14277,1
468,1
11870,1
12377,1
8063,1
5730,1
6594,1
7298,1
6902,1
6964,1
933,1
7077,1
14816,1
668,1
13578,1
493,1
6310,1
12099,1
945,1
14140,1
4415,1
7141,1
13691,1
17043,1
15454,1
7649,1
817,1
2407,1
13786,1
12296,1
2802,1
8522,1
15072,1
1242,1
214,1
6234,1
3186,1
7538,1
5428,1
3658,1
16174,1
2140,1
2438,1
390,1
4485,1
626,1
2929,1
349,1
16406,1
4251,1
6043,1
12488,1
661,1
13803,1
5439,1
13296,1
17179,1
14899,1
12362,1
6549,1
6688,1
1005,1
12224,1
6953,1
6204,1
3006,1
3442,1
5795,1
2156,1
5534,1
16749,1
5029,1
17308,1
6873,1
12443,1
10,1
14854,1
12334,1
16446,1
8177,1
7287,1
13299,1
13853,1
4529,1
15518,1
3471,1
5184,1
420,1
12305,1
6865,1
516,1
4385,1
6547,1
2584,1
168,1
3997,1
14741,1
17387,1
16768,1
13773,1
11831,1
14048,1
3645,1
5682,1
14525,1
4380,1
5060,1
15495,1
3569,1
97,1
6878,1
17246,1
4682,1
12769,1
13447,1
5803,1
3684,1
3436,1
8025,1
15730,1
3932,1
15867,1
16808,1
17411,1
3544,1
7953,1
677,1
7170,1
6019,1
828,1
15208,1
3456,1
17378,1
763,1
8495,1
7954,1
7393,1
5362,1
4321,1
12378,1
12228,1
2508,1
15402,1
985,1
11956,1
3628,1
3046,1
7152,1
5459,1
3175,1
15058,1
7421,1
5112,1
7416,1
2113,1
13848,1
14407,1
725,1
5767,1
14931,1
6916,1
3827,1
4433,1
11942,1
16432,1
16934,1
15976,1
4237,1
7176,1
5854,1
4189,1
6476,1
2101,1
15132,1
2519,1
4860,1
17206,1
3770,1
12495,1
8351,1
15382,1
294,1
4676,1
4343,1
16407,1
8476,1
2102,1
108,1
1257,1
17372,1
14866,1
1189,1
13149,1
14187,1
8096,1
6602,1
8154,1
12339,1
7609,1
2307,1
17286,1
16618,1
7226,1
2242,1
2833,1
12062,1
15767,1
4842,1
13526,1
5015,1
16843,1
5709,1
5760,1
13682,1
891,1
6053,1
17090,1
13721,1
7378,1
6199,1
2635,1
14717,1
163,1
12500,1
2963,1
5518,1
6396,1
8535,1
740,1
13393,1
12768,1
12613,1
11877,1
14137,1
8226,1
744,1
16261,1
592,1
4146,1
3454,1
11760,1
13222,1
14844,1
15365,1
6618,1
5212,1
2990,1
16015,1
7977,1
14513,1
14817,1
2908,1
11946,1
4483,1
4403,1
14060,1
3646,1
14375,1
12855,1
12909,1
148,1
13676,1
16687,1
2195,1
8145,1
2207,1
8112,1
2898,1
14070,1
6638,1
17027,1
145,1
3362,1
806,1
5072,1
17031,1
1007,1
7264,1
6244,1
4263,1
859,1
8192,1
3688,1
14416,1
15610,1
6819,1
14823,1
13769,1
13400,1
2902,1
15491,1
16748,1
8147,1
13571,1
14190,1
8194,1
5556,1
6142,1
15907,1
12455,1
16284,1
16824,1
16633,1
16950,1
5819,1
3673,1
6427,1
319,1
13263,1
11907,1
3405,1
7886,1
871,1
7562,1
7960,1
14335,1
6061,1
7539,1
15014,1
16201,1
15126,1
1246,1
14760,1
8118,1
7376,1
5533,1
16574,1
7283,1
5189,1
1002,1
2711,1
14142,1
12013,1
16359,1
15206,1
2967,1
15849,1
16386,1
3556,1
647,1
15818,1
14796,1
3098,1
8034,1
13483,1
16842,1
3237,1
6890,1
5984,1
7725,1
14077,1
12994,1
3607,1
5081,1
3882,1
649,1
1292,1
12143,1
16285,1
17224,1
5727,1
6235,1
13027,1
5114,1
12298,1
5341,1
4667,1
7901,1
17383,1
7906,1
3506,1
8240,1
12111,1
2790,1
5988,1
14700,1
3181,1
11951,1
15571,1
13080,1
2302,1
3051,1
6203,1
11815,1
14798,1
8262,1
13255,1
6534,1
7129,1
6176,1
4665,1
16303,1
355,1
13028,1
12812,1
16185,1
14764,1
16009,1
6522,1
3255,1
7909,1
15309,1
2689,1
4148,1
16032,1
7650,1
6572,1
14329,1
7239,1
13158,1
167,1
3582,1
4578,1
5230,1
3989,1
8135,1
15791,1
13698,1
12410,1
16706,1
16116,1
3536,1
4387,1
8337,1
14847,1
6436,1
8304,1
8157,1
14148,1
17298,1
15196,1
14521,1
55,1
5057,1
1097,1
13701,1
8092,1
12598,1
12402,1
7223,1
7788,1
16016,1
2147,1
2713,1
5511,1
15570,1
810,1
8686,1
7167,1
15380,1
13965,1
8659,1
7403,1
6391,1
16733,1
15833,1
5302,1
2297,1
4125,1
884,1
8024,1
2974,1
2527,1
7083,1
6501,1
266,1
16533,1
3023,1
12384,1
16417,1
2780,1
14641,1
13557,1
8055,1
13538,1
12367,1
16712,1
16167,1
12093,1
4248,1
8670,1
542,1
5774,1
7728,1
7183,1
2341,1
8532,1
14248,1
3138,1
16489,1
15410,1
4315,1
16846,1
3266,1
3955,1
6269,1
8600,1
5936,1
15664,1
16233,1
15501,1
2109,1
7481,1
13664,1
16580,1
14519,1
3742,1
6881,1
2813,1
3268,1
4203,1
6754,1
15710,1
2786,1
13395,1
15516,1
7898,1
5914,1
4444,1
14905,1
14507,1
66,1
972,1
3903,1
12884,1
4956,1
12025,1
6755,1
8462,1
15920,1
5913,1
5396,1
7512,1
16338,1
3927,1
6091,1
14331,1
6419,1
16771,1
7006,1
13366,1
3621,1
4356,1
16615,1
13075,1
14366,1
5617,1
15973,1
12,1
15440,1
2130,1
4933,1
12401,1
16851,1
6738,1
11892,1
13122,1
3643,1
15925,1
6886,1
773,1
12311,1
3708,1
14907,1
8379,1
6468,1
7422,1
3711,1
1295,1
8275,1
5300,1
15614,1
5177,1
12900,1
16834,1
3199,1
3954,1
4692,1
2436,1
13831,1
526,1
8018,1
17111,1
7656,1
14285,1
2578,1
14232,1
12544,1
16096,1
13707,1
13627,1
16911,1
17061,1
8340,1
14829,1
6911,1
15952,1
7487,1
6717,1
4094,1
741,1
14994,1
13170,1
1245,1
14147,1
13945,1
3723,1
17380,1
5672,1
8696,1
12084,1
2518,1
8451,1
17360,1
7802,1
6216,1
1171,1
2779,1
8307,1
14822,1
4918,1
3421,1
13836,1
12056,1
14732,1
78,1
8362,1
690,1
14772,1
14471,1
3566,1
14926,1
712,1
6256,1
13360,1
14666,1
7577,1
7884,1
12356,1
5657,1
15342,1
